,Animal,Day,Experimental condition,Stimulus class,Stimulus orientation,Frame,Width
374,Naive,D1,Tuning,,0,20,48
375,Naive,D1,Tuning,,0,21,37
376,Naive,D1,Tuning,,0,22,46
377,Naive,D1,Tuning,,0,23,40
378,Naive,D1,Tuning,,0,24,42
379,Naive,D1,Tuning,,0,25,51
380,Naive,D1,Tuning,,0,26,36
381,Naive,D1,Tuning,,0,27,25
382,Naive,D1,Tuning,,0,28,40
383,Naive,D1,Tuning,,0,29,19
384,Naive,D1,Tuning,,0,30,20
385,Naive,D1,Tuning,,30,0,28
386,Naive,D1,Tuning,,30,1,39
387,Naive,D1,Tuning,,30,2,53
388,Naive,D1,Tuning,,30,3,55
389,Naive,D1,Tuning,,30,4,50
390,Naive,D1,Tuning,,30,5,59
391,Naive,D1,Tuning,,30,6,58
392,Naive,D1,Tuning,,30,7,62
393,Naive,D1,Tuning,,30,8,61
394,Naive,D1,Tuning,,30,9,59
395,Naive,D1,Tuning,,30,10,54
396,Naive,D1,Tuning,,30,11,55
397,Naive,D1,Tuning,,30,12,58
398,Naive,D1,Tuning,,30,13,62
399,Naive,D1,Tuning,,30,14,57
400,Naive,D1,Tuning,,30,15,64
401,Naive,D1,Tuning,,30,17,68
402,Naive,D1,Tuning,,30,18,52
403,Naive,D1,Tuning,,30,19,48
404,Naive,D1,Tuning,,30,20,59
405,Naive,D1,Tuning,,30,21,61
406,Naive,D1,Tuning,,30,22,52
407,Naive,D1,Tuning,,30,23,65
408,Naive,D1,Tuning,,30,24,45
409,Naive,D1,Tuning,,30,25,40
410,Naive,D1,Tuning,,30,26,74
411,Naive,D1,Tuning,,30,27,20
412,Naive,D1,Tuning,,30,28,23
413,Naive,D1,Tuning,,30,29,35
414,Naive,D1,Tuning,,30,30,19
415,Naive,D1,Tuning,,60,0,38
416,Naive,D1,Tuning,,60,1,35
417,Naive,D1,Tuning,,60,2,29
418,Naive,D1,Tuning,,60,3,39
419,Naive,D1,Tuning,,60,4,44
420,Naive,D1,Tuning,,60,5,42
421,Naive,D1,Tuning,,60,6,41
422,Naive,D1,Tuning,,60,7,46
423,Naive,D1,Tuning,,60,8,37
424,Naive,D1,Tuning,,60,9,42
425,Naive,D1,Tuning,,60,10,33
426,Naive,D1,Tuning,,60,11,39
427,Naive,D1,Tuning,,60,12,50
428,Naive,D1,Tuning,,60,13,46
429,Naive,D1,Tuning,,60,14,51
430,Naive,D1,Tuning,,60,15,45
431,Naive,D1,Tuning,,60,16,41
432,Naive,D1,Tuning,,60,17,43
433,Naive,D1,Tuning,,60,18,43
434,Naive,D1,Tuning,,60,19,57
435,Naive,D1,Tuning,,60,20,50
436,Naive,D1,Tuning,,60,21,44
437,Naive,D1,Tuning,,60,22,43
438,Naive,D1,Tuning,,60,23,38
439,Naive,D1,Tuning,,60,24,37
440,Naive,D1,Tuning,,60,25,34
441,Naive,D1,Tuning,,60,26,35
442,Naive,D1,Tuning,,60,27,47
443,Naive,D1,Tuning,,60,29,40
444,Naive,D1,Tuning,,90,0,32
445,Naive,D1,Tuning,,90,1,24
446,Naive,D1,Tuning,,90,2,34
447,Naive,D1,Tuning,,90,3,37
448,Naive,D1,Tuning,,90,4,39
